image_name,correct_cells,user_id,selected_cells,elapsed_seconds,all_correct,timeout,system_time
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,"3,4,5,6,7",1445551,"3,4,6",4.037,False,False,2025-08-24 15:31:14
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,"3,4,5,6,7",1445551,"3,4",9.713,False,False,2025-08-24 15:31:20
COD10K-CAM-3-Flying-61-Katydid-4224.jpg,,1445551,,,,True,2025-08-24 15:31:21
COD10K-CAM-2-Terrestrial-38-Lizard-2245.jpg,4,1445551,"4,7",5.187,False,False,2025-08-24 15:31:26
COD10K-CAM-2-Terrestrial-38-Lizard-2245.jpg,4,1445551,4,6.911,True,False,2025-08-24 15:31:28
COD10K-CAM-4-Amphibian-68-Toad-5021.jpg,"4,5,7",1445551,"4,7",2.346,False,False,2025-08-24 15:31:31
COD10K-CAM-4-Amphibian-68-Toad-5021.jpg,"4,5,7",1445551,"4,5,7",6.453,True,False,2025-08-24 15:31:35
COD10K-CAM-2-Terrestrial-32-Giraffe-1937.jpg,"1,3,4,6,7",1445551,"1,3,4,6,7",3.737,True,False,2025-08-24 15:31:38
COD10K-CAM-1-Aquatic-13-Pipefish-788.jpg,"0,1,3,4,5,8",1445551,3,4.885,False,False,2025-08-24 15:31:43
COD10K-CAM-1-Aquatic-13-Pipefish-788.jpg,,1445551,,,,True,2025-08-24 15:31:50
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,,0.093,False,False,2025-08-24 15:31:50
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,"4,5,6,7,8",4.301,False,False,2025-08-24 15:31:54
COD10K-CAM-1-Aquatic-13-Pipefish-836.jpg,"0,3,4,5,6,7,8",1445551,"0,3,4,5,6,7,8",6.217,True,False,2025-08-24 15:31:56
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,"1,2,4,5,6,7,8",1075520029841111,"1,2,4,6,7",7.059,False,False,2025-08-24 17:35:02
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,"1,2,4,5,6,7,8",1075520029841111,"1,2,3,4,6,7,8",9.63,False,False,2025-08-24 17:35:05
COD10K-CAM-3-Flying-57-Dragonfly-3580.jpg,,1075520029841111,,,,True,2025-08-24 17:35:06
COD10K-CAM-2-Terrestrial-26-Chameleon-1730.jpg,"0,1,3,4,6,7",1075520029841111,"0,1,3,4,6,7",4.492,True,False,2025-08-24 17:35:11
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"3,4,5,7,8",4.451,False,False,2025-08-24 17:35:15
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"3,4,5,6,7,8",7.245,False,False,2025-08-24 17:35:18
COD10K-CAM-3-Flying-59-Grasshopper-3650.jpg,"2,3,4,5,7,8",1075520029841111,"2,3,4,5,7,8",9.724,True,False,2025-08-24 17:35:21
